# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
A1031	蔬菜、食用菌等园艺作物种植	014蔬菜、食用菌及园艺作物种植	蔬菜、食用菌等园艺作物种植 014蔬菜、食用菌及园艺作物种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1032	竹种植	019其他农业	竹种植 019其他农业
A1033	金花茶人工培植	0164茶叶种植；0171中草药种植；	金花茶人工培植 0164茶叶种植；0171中草药种植；
A2001	人工造林	0220造林和更新	人工造林 0220造林和更新
A2002	森林经营和管护	0231森林经营和管护	森林经营和管护 0231森林经营和管护
A2003	森林改培	0232森林改培	森林改培 0232森林改培
A2004	木材采运	0241木材采运 在林区经营（加工）木材	木材采运 0241木材采运 在林区经营（加工）木材审批; 在林区经营（加工）木材审批
A2005	竹材采运	0242竹材采运	竹材采运 0242竹材采运
A2006	林产品采集	025林产品采集 经营范围规范表述目录（征求意见稿）	林产品采集 025林产品采集 经营范围规范表述目录（征求意见稿）
A2008	林木种子生产经营	0211林木育种；0212林木育苗；5112种子批发 林草种子（林木良种，主要草种杂交种 子及其亲本种子、常规原种种子，选育 生产经营相结合单位）生产经营	林木种子生产经营 0211林木育种；0212林木育苗；5112种子批发 林草种子（林木良种，主要草种杂交种 子及其亲本种子、常规原种种子，选育 生产经营相结合单位）生产经营许可证 核发;林草种子（普通）生产经营许可 证核发;普及型国外引种试种苗圃资格 林草种子（林木良种，主要草种杂交 种子及其亲本种子、常规原种种子， 选育生产经营相结合单位）生产经营 许可证核发林草种子（普通）生产经 营许可证核发普及型国外引种试种苗 农作物种子、林木种子、 草种、烟草种、中药材种 、食用菌菌种生产经营、 进出口许可;普及型国外 引种试种苗圃资格认定
A2009	树木种植经营	0212林木育苗；5115林业产品批发；	树木种植经营 0212林木育苗；5115林业产品批发；
A3001	动物饲养	031牲畜饲养；032家禽饲养；039其他畜牧业；8221宠物饲养 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所	动物饲养 031牲畜饲养；032家禽饲养；039其他畜牧业；8221宠物饲养 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所审批（不含市区 饲养家畜家禽）;动物防疫条件合格证 核发; 兴办动物饲养场（养殖小区）和隔离 场所，动物屠宰加工场所，以及动物 和动物产品无害化处理场所审批（不 含市区饲养家畜家禽）动物防疫条件 合格证核发 设立动物饲养场（养殖小 区）和隔离场所，设立动 物屠宰加工场所、生猪定 点屠宰厂（场）以及动物 和动物产品无害化处理场 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A3002	家禽饲养	032家禽饲养； 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所	家禽饲养 032家禽饲养； 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所审批（不含市区 饲养家畜家禽）;动物防疫条件合格证 核发; 兴办动物饲养场（养殖小区）和隔离 场所，动物屠宰加工场所，以及动物 和动物产品无害化处理场所审批（不 含市区饲养家畜家禽）动物防疫条件 合格证核发 设立动物饲养场（养殖小 区）和隔离场所，设立动 物屠宰加工场所、生猪定 点屠宰厂（场）以及动物 和动物产品无害化处理场 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A3003	牲畜饲养	031牲畜饲养； 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所	牲畜饲养 031牲畜饲养； 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所审批（不含市区 饲养家畜家禽）;动物防疫条件合格证 核发; 兴办动物饲养场（养殖小区）和隔离 场所，动物屠宰加工场所，以及动物 和动物产品无害化处理场所审批（不 含市区饲养家畜家禽）动物防疫条件 合格证核发 设立动物饲养场（养殖小 区）和隔离场所，设立动 物屠宰加工场所、生猪定 点屠宰厂（场）以及动物 和动物产品无害化处理场 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A3004	种畜禽生产	031牲畜饲养；032家禽饲养；0531畜牧良种繁殖活动 种畜禽生产经营	种畜禽生产 031牲畜饲养；032家禽饲养；0531畜牧良种繁殖活动 种畜禽生产经营许可;动物防疫条件合 格证核发; 种畜禽生产经营许可动物防疫条件合 格证核发 种畜禽、畜禽冷冻精液、 胚胎或者其他遗传材料的 生产经营许可或审批；跨 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A3005	蜂种生产	0392蜜蜂饲养 动物防疫条件合格证	蜂种生产 0392蜜蜂饲养 动物防疫条件合格证核发;蜂种生产经 营许可证核发; 动物防疫条件合格证核发蜂种生产经 营许可证核发 跨省引进乳用动物、种用 动物及其精液、胚胎、种 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A3006	蚕种生产	0399其他未列明畜牧业 动物防疫条件合格证	蚕种生产 0399其他未列明畜牧业 动物防疫条件合格证核发;蚕种生产经 营许可证核发; 动物防疫条件合格证核发蚕种生产经 营许可证核发 跨省引进乳用动物、种用 动物及其精液、胚胎、种 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A3007	转基因种畜禽生产	031牲畜饲养；032家禽饲养；0531畜牧良种繁殖活动 动物防疫条件合格证	转基因种畜禽生产 031牲畜饲养；032家禽饲养；0531畜牧良种繁殖活动 动物防疫条件合格证核发;转基因种畜 禽生产经营许可证核发; 动物防疫条件合格证核发转基因种畜 禽生产经营许可证核发 跨省引进乳用动物、种用 动物及其精液、胚胎、种 《外资负面清单》禁止投资农作物、种畜禽、水产苗种转基因品种选育及其转基因种子（苗）生产 。
A3008	实验动物生产	0399其他未列明畜牧业 实验动物	实验动物生产 0399其他未列明畜牧业 实验动物许可; 实验动物许可 实验动物生产和使用许
A3010	农业转基因生物加工	031牲畜饲养；032家禽饲养；0531畜牧良种繁殖活动 农业转基因生物加工	农业转基因生物加工 031牲畜饲养；032家禽饲养；0531畜牧良种繁殖活动 农业转基因生物加工审批; 农业转基因生物加工审批 农业转基因生物生产与加 《外资负面清单》禁止投资农作物、种畜禽、水产苗种转基因品种选育及其转基因种子（苗）生产
A3011	信鸽养殖	032家禽饲养 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所	信鸽养殖 032家禽饲养 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所审批（不含市区 饲养家畜家禽）; 兴办动物饲养场（养殖小区）和隔离 场所，动物屠宰加工场所，以及动物 和动物产品无害化处理场所审批（不 含市区饲养家畜家禽） 设立动物饲养场（养殖小 区）和隔离场所，设立动 物屠宰加工场所、生猪定 点屠宰厂（场）以及动物
A3012	蚯蚓养殖	0549其他渔业专业及辅助性活动；	蚯蚓养殖 0549其他渔业专业及辅助性活动；
A4002	水产养殖	041水产养殖 水域滩涂养殖证	水产养殖 041水产养殖 水域滩涂养殖证核发; 水域滩涂养殖证核发 使用全民所有的水域、滩 涂从事养殖生产许可 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A4003	渔业捕捞	042水产捕捞 渔业捕捞	渔业捕捞 042水产捕捞 渔业捕捞许可证核发（涉外渔业）;渔 业捕捞许可证审批;远洋渔业项目初审; 远洋渔业审批; 渔业捕捞许可证核发（涉外渔业）渔 业捕捞许可证审批远洋渔业项目初审 远洋渔业审批 渔业捕捞活动许可，渔船 和企业到公海或他国管辖 海域从事渔业生产许可， 养殖、科研等特殊需要在 《外资负面清单》禁止投资中国管辖海域及内陆水域水产品捕捞。
A4004	天然水域鱼类资源的人工增殖 放流	041水产养殖 水产苗种（不含原、良种）生产	天然水域鱼类资源的人工增殖 放流 041水产养殖 水产苗种（不含原、良种）生产审批; 水产原、良种场的水产苗种生产许可证 核发;转基因水产苗种生产经营许可证 水产苗种（不含原、良种）生产审批 水产原、良种场的水产苗种生产许可 证核发转基因水产苗种生产经营许可 水产苗种、转基因水产苗 种生产经营许可，重要水 产苗种进出口许可
A5001	农业机械服务	0512农业机械活动	农业机械服务 0512农业机械活动
A5002	灌溉服务	0513灌溉活动	灌溉服务 0513灌溉活动
A5003	非食用农产品初加工	0514农产品初加工活动	非食用农产品初加工 0514农产品初加工活动
A5004	农作物病虫害防治服务	0515农作物病虫害防治活动	农作物病虫害防治服务 0515农作物病虫害防治活动
A5005	农业专业及辅助性活动	0519其他农业专业及辅助性活动	农业专业及辅助性活动 0519其他农业专业及辅助性活动
A5006	农作物栽培服务	0519其他农业专业及辅助性活动	农作物栽培服务 0519其他农业专业及辅助性活动
A5007	农作物收割服务	0519其他农业专业及辅助性活动	农作物收割服务 0519其他农业专业及辅助性活动
A5008	农业园艺服务	0519其他农业专业及辅助性活动	农业园艺服务 0519其他农业专业及辅助性活动
A5009	农业生产托管服务	0519其他农业专业及辅助性活动	农业生产托管服务 0519其他农业专业及辅助性活动
A5010	农作物秸秆处理及加工利用服	0519其他农业专业及辅助性活动	农作物秸秆处理及加工利用服 0519其他农业专业及辅助性活动
A5011	农林牧渔业废弃物综合利用	0519其他农业专业及辅助性活动	农林牧渔业废弃物综合利用 0519其他农业专业及辅助性活动
A5012	林业有害生物防治服务	0521林业有害生物防治活动	林业有害生物防治服务 0521林业有害生物防治活动
A5013	森林防火服务	0522森林防火活动	森林防火服务 0522森林防火活动
A5014	非食用林产品初加工	0523林产品初级加工活动	非食用林产品初加工 0523林产品初级加工活动
A5015	林业专业及辅助性活动	0529其他林业专业及辅助性活动	林业专业及辅助性活动 0529其他林业专业及辅助性活动
A5016	林业机械服务	0529其他林业专业及辅助性活动	林业机械服务 0529其他林业专业及辅助性活动
A5017	智能农业管理	0519其他农业专业及辅助性活动；0529其他林业专业及辅助 性活动；0539其他畜牧专业及辅助性活动；0549其他渔业专 业及辅助性活动	智能农业管理 0519其他农业专业及辅助性活动；0529其他林业专业及辅助 性活动；0539其他畜牧专业及辅助性活动；0549其他渔业专 业及辅助性活动
A5018	畜禽粪污处理	0532畜禽粪污处理活动	畜禽粪污处理 0532畜禽粪污处理活动
A5019	畜牧专业及辅助性活动	0539其他畜牧专业及辅助性活动	畜牧专业及辅助性活动 0539其他畜牧专业及辅助性活动
A5020	动物无害化处理	0539其他畜牧专业及辅助性活动；8229其他宠物服务 动物防疫条件合格证	动物无害化处理 0539其他畜牧专业及辅助性活动；8229其他宠物服务 动物防疫条件合格证核发;兴办动物饲 养场（养殖小区）和隔离场所，动物屠 宰加工场所，以及动物和动物产品无害 化处理场所审批（不含市区饲养家畜家 禽）; 动物防疫条件合格证核发兴办动物饲 养场（养殖小区）和隔离场所，动物 屠宰加工场所，以及动物和动物产品 无害化处理场所审批（不含市区饲养 家畜家禽） 跨省引进乳用动物、种用 动物及其精液、胚胎、种 蛋检疫审批；设立动物饲 养场（养殖小区）和隔离 场所，设立动物屠宰加工
A5021	渔业专业及辅助性活动	0549其他渔业专业及辅助性活动	渔业专业及辅助性活动 0549其他渔业专业及辅助性活动
A5022	渔业机械服务	0549其他渔业专业及辅助性活动	渔业机械服务 0549其他渔业专业及辅助性活动
A5023	鱼病防治服务	0549其他渔业专业及辅助性活动	鱼病防治服务 0549其他渔业专业及辅助性活动
A5024	水产养殖珍珠购销	0549其他渔业专业及辅助性活动	水产养殖珍珠购销 0549其他渔业专业及辅助性活动
A5025	水产品收购	054渔业专业及辅助性活动	水产品收购 054渔业专业及辅助性活动
A5026	农林牧副渔业专业机械的安装 、维修	439其他机械和设备修理业；433专用设备修理	农林牧副渔业专业机械的安装 、维修 439其他机械和设备修理业；433专用设备修理
A5028	渔业加工废弃物综合利用	0549其他渔业专业及辅助性活动 A5030 农产品初加工服务（不含植物 油脂、大米、面粉加工、粮食 收购、籽棉加工） 0514农产品初加工活动	渔业加工废弃物综合利用 0549其他渔业专业及辅助性活动 A5030 农产品初加工服务（不含植物 油脂、大米、面粉加工、粮食 收购、籽棉加工） 0514农产品初加工活动
A6001	水产苗种生产	041水产养殖 水产苗种（不含原、良种）生产	水产苗种生产 041水产养殖 水产苗种（不含原、良种）生产审批; 水产原、良种场的水产苗种生产许可证 核发; 水产苗种（不含原、良种）生产审批 水产原、良种场的水产苗种生产许可 证核发 水产苗种、转基因水产苗 种生产经营许可，重要水 产苗种进出口许可 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A6002	转基因水产苗种生产	041水产养殖 转基因水产苗种生产经营	转基因水产苗种生产 041水产养殖 转基因水产苗种生产经营许可证核发; 转基因水产苗种生产经营许可证核发 水产苗种、转基因水产苗 种生产经营许可，重要水 产苗种进出口许可 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。禁止投资农作物、种畜禽、水产苗种转基因 品种选育及其转基因种子（苗）生产。
A6003	主要农作物种子生产	011谷物种植；0121豆类种植；0122油料种植；0123薯类种 植；0131棉花种植；0132麻类种植；0133糖料种植；0134烟 草种植；0141蔬菜种植；0142食用菌种植；0143花卉种植； 0149其他园艺作物种植；015水果种植；0161坚果种植；0162 含油果种植；0163香料作物种植；0164茶叶种植；0169其他 饮料作物种植；0511种子种苗培育活动 农作物种子生产经营（进出口）	主要农作物种子生产 011谷物种植；0121豆类种植；0122油料种植；0123薯类种 植；0131棉花种植；0132麻类种植；0133糖料种植；0134烟 草种植；0141蔬菜种植；0142食用菌种植；0143花卉种植； 0149其他园艺作物种植；015水果种植；0161坚果种植；0162 含油果种植；0163香料作物种植；0164茶叶种植；0169其他 饮料作物种植；0511种子种苗培育活动 农作物种子生产经营（进出口）许可证 核发;农作物种子、食用菌菌种生产经 营许可证核发;农作物种子生产经营 （外商投资企业）许可证核发;外商投 资农作物新品种选育和种子生产经营审 批; 农作物种子生产经营（进出口）许可 证核发;农作物种子、食用菌菌种生产 经营许可证核发;农作物种子生产经营 （外商投资企业）许可证核发;外商投 资农作物新品种选育和种子生产经营 审批;农作物种子生产经营分支机构备 农作物种子生产 经营分支机构备 案; 农作物种子、林木种子、 草种、烟草种、中药材种 、食用菌菌种生产经营、 进出口许可 《外资负面清单2020》1.小麦新品种选育和种子生产的中方股比不低于 34%、玉米新品种选育和种 子生产须 由中方控股；2..禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）；3.禁止投资农作物、种畜禽、水产苗种转基 因品种选育及其转基因种子（苗）生产。
A6004	非主要农作物种子生产	0511种子种苗培育活动	非主要农作物种子生产 0511种子种苗培育活动 《外资负面清单2020》1.小麦新品种选育和种子生产的中方股比不低于 34%、玉米新品种选育和种 子生产须 由中方控股；2..禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关 繁殖材料的生产（包括种植业、畜牧业、水产业的优良基因）；3.禁止投资农作物、种畜禽、水产 苗种转基因品种选育及其转基因种子（苗）生产。
A6005	食用菌菌种生产	0142食用菌种植；0511种子种苗培育活动 农作物种子、食用菌菌种生产经营	食用菌菌种生产 0142食用菌种植；0511种子种苗培育活动 农作物种子、食用菌菌种生产经营许可 证核发; 农作物种子、食用菌菌种生产经营许 可证核发 农作物种子、林木种子、 草种、烟草种、中药材种 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A6006	转基因农作物种子生产	0511种子种苗培育活动 转基因农作物种子生产经营	转基因农作物种子生产 0511种子种苗培育活动 转基因农作物种子生产经营许可证核 转基因农作物种子生产经营许可证核 《外资负面清单》禁止投资农作物、种畜禽、水产苗种转基因品种选育及其转基因种子（苗）生产
A6007	转基因棉花种子生产	0511种子种苗培育活动 转基因棉花种子生产经营	转基因棉花种子生产 0511种子种苗培育活动 转基因棉花种子生产经营许可证核发 （初审）; 转基因棉花种子生产经营许可证核发 （初审）; 《外资负面清单》禁止投资农作物、种畜禽、水产苗种转基因品种选育及其转基因种子（苗）生产 。
B1001	煤炭开采	06煤炭开采和洗选业；1110煤炭开采和洗选专业及辅助性活 动；1190其他开采专业及辅助性活动 采矿权新立、延续、变更登记发证与注 销登记;开采矿产资源	煤炭开采 06煤炭开采和洗选业；1110煤炭开采和洗选专业及辅助性活 动；1190其他开采专业及辅助性活动 采矿权新立、延续、变更登记发证与注 销登记;开采矿产资源审批;煤炭开采审 批;除涉煤中央企业总部（总公司、集 团公司）外的煤矿企业及煤矿安全生产 许可;涉煤中央企业（总公司、集团公 司）煤矿安全生产许可; 采矿权新立、延续、变更登记发证与 注销登记;开采矿产资源审批;煤炭开 采审批;除涉煤中央企业总部（总公司 、集团公司）外的煤矿企业及煤矿安 全生产许可;涉煤中央企业（总公司、 集团公司）煤矿安全生产许可; 探矿权和采矿权审批登 记；石油天然气勘查开采 审批；煤矿建设、非煤矿 矿山建设、金属冶炼建设 等项目的安全设施设计审 查 禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
B1002	煤炭洗选	06煤炭开采和洗选业；1110煤炭开采和洗选专业及辅助性活	煤炭洗选 06煤炭开采和洗选业；1110煤炭开采和洗选专业及辅助性活 《外资负面清单》禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
B2001	矿产资源（非煤矿山）开采	07石油和天然气开采业；08黑色金属矿采选业；12其他采矿 业；101土砂石开采；102化学矿开采；103采盐；091常用有 色金属矿采选；092贵金属矿采选；1091石棉、云母矿采选； 1092石墨、滑石采选；1093宝石、玉石采选；0931钨钼矿采 选；0932稀土金属矿采选；0933放射性金属矿采选 非煤矿矿山企业安全生产	矿产资源（非煤矿山）开采 07石油和天然气开采业；08黑色金属矿采选业；12其他采矿 业；101土砂石开采；102化学矿开采；103采盐；091常用有 色金属矿采选；092贵金属矿采选；1091石棉、云母矿采选； 1092石墨、滑石采选；1093宝石、玉石采选；0931钨钼矿采 选；0932稀土金属矿采选；0933放射性金属矿采选 非煤矿矿山企业安全生产许可证核发; 采矿权新立、延续、变更登记发证与注 销登记;开采矿产资源审批; 非煤矿矿山企业安全生产许可证核发 采矿权新立、延续、变更登记发证与 注销登记开采矿产资源审批 非煤矿矿山企业（另有规 定的除外）、煤矿企业及 煤矿的安全生产许可证核 发；探矿权和采矿权审批 登记；石油天然气勘查开 《外资负面清单》禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
B2002	海洋石油开采	0712海洋石油开采 海洋石油天然气企业安全生产	海洋石油开采 0712海洋石油开采 海洋石油天然气企业安全生产许可;开 采矿产资源审批;采矿权新立、延续、 变更登记发证与注销登记; 海洋石油天然气企业安全生产许可开 采矿产资源审批采矿权新立、延续、 变更登记发证与注销登记 海洋石油天然气发证检验 机构资质认定;石油天然 气勘查开采审批； 《外资负面清单》禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
B2003	海洋天然气开采	0722海洋天然气及可燃冰开采 采矿权新立、延续、变更登记发证与注 销登记;开采矿产资源	海洋天然气开采 0722海洋天然气及可燃冰开采 采矿权新立、延续、变更登记发证与注 销登记;开采矿产资源审批;海洋石油天 然气企业安全生产许可; 采矿权新立、延续、变更登记发证与 注销登记开采矿产资源审批海洋石油 天然气企业安全生产许可 探矿权和采矿权审批登 记；石油天然气勘查开采 审批；海洋石油天然气发 《外资负面清单》禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
B5001	选矿	06煤炭开采和洗选业；07石油和天然气开采业；08黑色金属 矿采选业；09有色金属矿采选业；10非金属矿采选业；11开 采专业及辅助性活动	选矿 06煤炭开采和洗选业；07石油和天然气开采业；08黑色金属 矿采选业；09有色金属矿采选业；10非金属矿采选业；11开 采专业及辅助性活动 《外资负面清单2020》5.禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
B6001	矿物洗选加工	111煤炭开采和洗选专业及辅助性活动；119其他开采专业及 辅助性活动	矿物洗选加工 111煤炭开采和洗选专业及辅助性活动；119其他开采专业及 辅助性活动 《外资负面清单2020》5.禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
